,player
,41520.1
,47976.5
,68682.9
,51794.4
,52663.6
,52559.9
,63648.3
,97583.2
,78099.3
,72178.6
,64920.8
,59993.1
,70143
,94137.4
,115016
,67802.7
,76833.2
,76408.3
,91712.7
,118906.8
,67200.2
,79956.3
,86829.2
,91693
,91717.1
,94161.2
,99266.3
,89344.2
,92058.6
,96008.5
,97974.3
,109642.1
,90117.4
,68496.3
,75412.4
,72810.8
,70352.9
,79748.2
,89325.5
,96993.1
,86103.1
,81854
,75016
,85157.5
,106222.9
,89532.2
,88187
,88703.6
,101230.9
,83148.2
,82423.5
,70304.8
,73594.1
,68866.2
,66943.6
,69301.9
,65169.9
,66393.8
,67187.1
,67978.9
,60109.1
,59597.9
,61695.9
,50315.9
,51993.9
,48332.9
,45544.9
,49539
,43002.5
,39076.9
,42505.1
,45940
,47707.6
,50511.3
,50592.4
,53084.2
,48766.2
,41002.1
,43632.3
,46149.4
,44207.4
,38847
,39180.5
,36781.9
,37715.1
,53432.1
,51816.1
,52270.1
,54963.3
,50985.2
,52992.5
,51861.4
,52408.1
,50126
,51733.5
,49483.2
,51787.4
,52436.2
,50140.8
,46904.2
,45910.1
,48541.2
,53742.5
,54459.3
,51362.7
,49804.4
,51434.8
,52754.4
,52864.7
,52763.5
,52972.9
,52145.2
,55256.6
,55776.8
,60484.8
,60778.7
,56344.6
,55586.9
,54533
,54117.7
,56469.6
,58550.4
,58391.6
,56732.7
,57977
,55091.6
,59228.8
,56704.3
,53342.7
,47900.3
,49671.2
,49145.6
,49817.4
,50662.3
,47901.5
,44536.3
,42808.2
,43714.4
,50324.7
,48700.8
,50739.9
,44632.9
,41942.5
,43336.2
,43210.8
,44255.1
,43624
,42498.5
,46978.7
,50699.1
,61561.4
Jul-12,45566.9
